true_temperature_c,decoded_min_c,decoded_max_c,error_min_c,error_max_c,pull_only_error_min_c,pull_only_error_max_c
100.0,97.482777751,102.482763975,-2.517222249,2.482763975,-1.733371617,1.664731347
100.5,97.972997498,102.988688499,-2.527002502,2.488688499,-1.737527941,1.668581781
101.0,98.466868072,103.497375328,-2.533131928,2.497375328,-1.742032953,1.672282867
101.5,98.959078439,104.004102223,-2.540921561,2.504102223,-1.746358904,1.676522578
102.0,99.449072878,104.514342068,-2.550927122,2.514342068,-1.750508130,1.680396644
102.5,99.942399706,105.021916236,-2.557600294,2.521916236,-1.754177325,1.684821775
103.0,100.433488447,105.533047736,-2.566511553,2.533047736,-1.758702751,1.688475627
103.5,100.922168399,106.040778252,-2.577831601,2.540778252,-1.762707571,1.692885829
104.0,101.413415242,106.551024714,-2.586584758,2.551024714,-1.766990847,1.697412135
104.5,101.907289614,107.058313415,-2.592710386,2.558313415,-1.771346972,1.701285240
105.0,102.397768879,107.568125156,-2.602231121,2.568125156,-1.775353739,1.705334539
105.5,102.891268870,108.074151469,-2.608731130,2.574151469,-1.780260147,1.709076423
106.0,103.380942514,108.588481338,-2.619057486,2.588481338,-1.784572024,1.713350785
106.5,103.872696616,109.092028558,-2.627303384,2.592028558,-1.788508253,1.717895137
107.0,104.366766742,109.604662005,-2.633233258,2.604662005,-1.792771084,1.721685972
107.5,104.856617876,110.112554113,-2.643382124,2.612554113,-1.796882046,1.725650095
108.0,105.348636652,110.621761836,-2.651363348,2.621761836,-1.801551453,1.729870130
108.5,105.835824261,111.132543179,-2.664175739,2.632543179,-1.805896069,1.734307359
109.0,106.330682116,111.638237385,-2.669317884,2.638237385,-1.809760889,1.738576239
109.5,106.820686209,112.145021645,-2.679313791,2.645021645,-1.814205015,1.742325711
110.0,107.312165549,112.652615746,-2.687834451,2.652615746,-1.818798992,1.746268657
110.5,107.804973822,113.161628601,-2.695026178,2.661628601,-1.823257468,1.750360750
