case_index,trace,startup_policy,startup_utilization,reset_policy,reset_utilization,curve_time_fraction,cooling_tau_s,rated_current_a,samples,valid_updates,invalid_updates,reset_events,authority_loss_events,first_authority_ms,first_reset_ms,first_post_reset_authority_ms,first_post_reset_exhaust_ms,first_prod_exhaust_ms,first_ref_exhaust_ms,first_prod_recovery_ms,first_ref_recovery_ms,prod_utilization_before_reset,prod_utilization_after_reset_seed,max_prod_utilization,max_ref_utilization,final_prod_utilization,final_ref_utilization,max_state_abs_error,max_state_rel_error,max_cap_abs_error_a,production_underestimate_violations,cap_nonconservative_violations,cap_tolerance_violations,state_tolerance_violations,result_mismatch_violations,latch_mismatch_samples,latch_nonconservative_violations,strict_pass
68,repeated_corner_exit.csv,seeded,0.5,unknown,0.8,0.75,300,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.499833375216,0.499833361106,0.254678368568,0.254625888967,5.28546319861e-05,5.28546319861e-05,0,0,0,0,0,0,0,0,1
69,repeated_corner_exit.csv,seeded,0.5,unknown,0.8,0.75,600,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.499916672707,0.499916673609,0.300285190344,0.300273396901,1.18980238968e-05,1.18980238968e-05,0,0,0,0,0,0,0,0,1
70,repeated_corner_exit.csv,seeded,0.8,unknown,0.8,0.25,120,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.799333631992,0.799333611024,0.276451349258,0.276335584397,0.000118820173905,0.000118820173905,0,0,0,0,0,0,0,0,1
71,repeated_corner_exit.csv,seeded,0.8,unknown,0.8,0.25,300,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.799733400345,0.799733377769,0.29558673501,0.295538231991,4.87312950181e-05,4.87312950181e-05,0,0,0,0,0,0,0,0,1
72,repeated_corner_exit.csv,seeded,0.8,unknown,0.8,0.25,600,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.799866676331,0.799866677775,0.415578067303,0.415577484612,2.67402780951e-06,2.67402780951e-06,0,0,0,0,0,0,0,0,1
73,repeated_corner_exit.csv,seeded,0.8,unknown,0.8,0.5,120,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.799333631992,0.799333611024,0.276451349258,0.276335553759,0.000118851648046,0.000118851648046,0,0,0,0,0,0,0,0,1
74,repeated_corner_exit.csv,seeded,0.8,unknown,0.8,0.5,300,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.799733400345,0.799733377769,0.295285612345,0.29522699001,5.89736040465e-05,5.89736040465e-05,0,0,0,0,0,0,0,0,1
75,repeated_corner_exit.csv,seeded,0.8,unknown,0.8,0.5,600,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.799866676331,0.799866677775,0.410835087299,0.410823303405,1.18993826915e-05,1.18993826915e-05,0,0,0,0,0,0,0,0,1
76,repeated_corner_exit.csv,seeded,0.8,unknown,0.8,0.75,120,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.799333631992,0.799333611024,0.276451349258,0.276335553759,0.00011885164805,0.00011885164805,0,0,0,0,0,0,0,0,1
77,repeated_corner_exit.csv,seeded,0.8,unknown,0.8,0.75,300,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.799733400345,0.799733377769,0.295285612345,0.295226472728,5.94961970209e-05,5.94961970209e-05,0,0,0,0,0,0,0,0,1
